CMDLINE /usr/local/bin/python3.6 profileTest.py
MEM 0.769531 1495138159.8478
MEM 8.433594 1495138159.9550
MEM 9.214844 1495138160.0674
MEM 9.214844 1495138160.1805
MEM 9.214844 1495138160.2912
MEM 9.214844 1495138160.4043
MEM 9.214844 1495138160.5154
MEM 9.214844 1495138160.6279
MEM 9.214844 1495138160.7407
MEM 9.214844 1495138160.8523
MEM 9.214844 1495138160.9664
MEM 9.214844 1495138161.0796
MEM 9.214844 1495138161.1897
MEM 9.214844 1495138161.3021
MEM 9.214844 1495138161.4084
MEM 9.214844 1495138161.5201
MEM 9.214844 1495138161.6362
MEM 9.214844 1495138161.7464
MEM 9.214844 1495138161.8575
MEM 9.214844 1495138161.9708
MEM 9.214844 1495138162.0842
MEM 9.214844 1495138162.1933
MEM 9.214844 1495138162.3038
MEM 9.214844 1495138162.4115
MEM 9.214844 1495138162.5203
MEM 9.214844 1495138162.6323
MEM 9.214844 1495138162.7448
MEM 9.214844 1495138162.8565
MEM 9.214844 1495138162.9683
